,id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,host_temperature,host_radius,host_mass,right_ascension,declination
4711,4711,TOI-2285 b,138.0,19.5 Earths,13.403,2021,Super Earth,1.74 x Earth,0.1363 AU,27.3 days,0.3,TOI-561,Transit,5326.0,0.83,0.81,09h52m44.44s,+06d12m57.97s
4712,4712,TOI-2337 b,1749.0,1.6 Jupiters,12.524,2022,Gas Giant,0.9 x Jupiter,Unknown,3 days,0.02,TOI-564,Transit,5640.0,1.09,1.0,08h41m10.84s,-16d02m10.78s
4713,4713,TOI-237 b,124.0,2.67 Earths,16.37,2020,Super Earth,1.44 x Earth,0.0341 AU,5.4 days,0.0,TOI-628,Transit,6250.0,1.34,1.31,06h37m03.13s,+01d46m03.18s
4714,4714,TOI-2406 b,181.0,8.96 Earths,15.6955,2021,Neptune-like,0.262 x Jupiter,0.0228 AU,3.1 days,0.26,TOI-640,Transit,6460.0,2.08,1.54,06h38m56.30s,-36d38m46.07s
4715,4715,TOI-2411 b,194.0,3.46 Earths,11.272,2022,Super Earth,1.68 x Earth,0.0144 AU,0.8 days,0.0,TOI-674,Transit,3514.0,0.42,0.42,10h58m20.77s,-36d51m29.19s
4716,4716,TOI-2427 b,93.0,3.89 Earths,10.295,2022,Super Earth,1.8 x Earth,0.0202 AU,1.3 days,0.0,TOI-677,Transit,6295.0,1.28,1.18,09h36m28.65s,-50d27m47.14s
4717,4717,TOI-2445 b,158.0,2.1 Earths,15.692,2022,Super Earth,1.25 x Earth,0.0064 AU,0.4 days,0.0,TOI-700,Transit,3461.0,0.42,0.41,06h28m22.97s,-65d34m43.01s
4718,4718,TOI-251 b,325.0,1 Jupiter,9.887,2021,Neptune-like,0.244 x Jupiter,0.05741 AU,4.9 days,0.0,TOI-700,Transit,3461.0,0.42,0.41,06h28m22.97s,-65d34m43.01s
4719,4719,TOI-257 b,251.0,0.138 Jupiters,7.57,2021,Gas Giant,0.639 x Jupiter,0.1528 AU,18.4 days,0.0,TOI-700,Transit,3461.0,0.42,0.41,06h28m22.97s,-65d34m43.01s
4720,4720,TOI-2669 b,1283.0,0.61 Jupiters,10.916,2022,Gas Giant,1.76 x Jupiter,Unknown,6.2 days,0.09,TOI-763,Transit,5450.0,0.9,0.92,12h57m52.34s,-39d45m29.02s
4721,4721,TOI-269 b,186.0,8.8 Earths,14.37,2021,Neptune-like,0.247 x Jupiter,0.0345 AU,3.7 days,0.43,TOI-763,Transit,5450.0,0.9,0.92,12h57m52.34s,-39d45m29.02s
